Date,Smooth,Seasonal,Holidays,Week_number,Yday,Day
2013-12-23,-0.063515578544561,0.0892461144740921,-0.207469568453273,52,357,1452
2013-12-30,-0.0662897196906594,0.103111010148721,0.0541654881018652,1,364,1459
2014-01-06,-0.0687787119574586,0.190612033588071,0.153304080351408,2,6,1466
2014-01-13,-0.0708636485861363,0.177237064070276,0,3,13,1473
2014-01-20,-0.0724312543137244,0.16381685501409,0,4,20,1480
2014-01-27,-0.0734498231675791,0.150430558590881,0,5,27,1487
2014-02-03,-0.0739490911592845,0.137157326972016,0,6,34,1494
2014-02-10,-0.0739602987420706,0.124076312328863,0,7,41,1501
2014-02-17,-0.0735146863691676,0.111266666832789,0,8,48,1508
2014-02-24,-0.0726434944938053,0.0988073884293069,0,9,55,1515
2014-03-03,-0.071377963569214,0.0867346423760051,0,10,62,1522
2014-03-10,-0.0697493340486235,0.0749834930639764,0,11,69,1529
2014-03-17,-0.0677888463852641,0.0634744240883941,0,12,76,1536
2014-03-24,-0.0655282449468537,0.0521279190444313,0,13,83,1543
2014-03-31,-0.0630027158480369,0.0408644615272608,0,14,90,1550
2014-04-07,-0.0602488838049381,0.029604535132056,0,15,97,1557
2014-04-14,-0.0573033783667188,0.0182686234539897,-0.126705129894656,16,104,1564
2014-04-21,-0.0542028290825403,0.00679075455611975,0,17,111,1571
2014-04-28,-0.0509838655015642,-0.00477172262126812,0.126705129894656,18,118,1578
2014-05-05,-0.0476831171729517,-0.0162955826428773,-0.0744125555813417,19,125,1585
2014-05-12,-0.0443372136458644,-0.0276569804811682,0.0744125555813417,20,132,1592
2014-05-19,-0.040982784475984,-0.0387320711086014,0,21,139,1599
2014-05-26,-0.0376565638733866,-0.0493970094976375,-0.0866663402758187,22,146,1606
2014-06-02,-0.0343956559947173,-0.0595279506207369,0.0866663402758187,23,153,1613
2014-06-09,-0.0312372467013808,-0.0690011840489319,0,24,160,1620
2014-06-16,-0.0282185218547818,-0.0777040152158288,0,25,167,1627
2014-06-23,-0.0253766673163248,-0.0855427712619682,0,26,174,1634
2014-06-30,-0.0227488689474146,-0.0924256664389295,0,27,181,1641
2014-07-07,-0.0203723126094557,-0.0982609149982918,0,28,188,1648
2014-07-14,-0.0182841841638528,-0.102956731191634,0,29,195,1655
2014-07-21,-0.0165212853214287,-0.106421329270537,0,30,202,1662
2014-07-28,-0.0150773334442543,-0.108562923486578,0,31,209,1669
2014-08-04,-0.0138641376851327,-0.109302464947277,0,32,216,1676
2014-08-11,-0.0127843386072364,-0.108641345859038,0,33,223,1683
2014-08-18,-0.0117405767737374,-0.106612274630461,0,34,230,1690
2014-08-25,-0.0106354927478082,-0.103248030138898,-0.0747670275721736,35,237,1697
2014-09-01,-0.009371727092621,-0.0985813912616983,0.0747670275721736,36,244,1704
2014-09-08,-0.00785192037134813,-0.0926451368762147,0,37,251,1711
2014-09-15,-0.00597871314716186,-0.0854720458597981,0,38,258,1718
2014-09-22,-0.00365624909308676,-0.0770961079571097,0,39,265,1725
2014-09-29,-0.000827802701716002,-0.0675966831863474,0,40,272,1732
2014-10-06,0.00252150653910432,-0.057111102893596,0,41,279,1739
2014-10-13,0.00640451243112853,-0.0457804770551736,0,42,286,1746
2014-10-20,0.0108340487761109,-0.0337459156473986,0,43,293,1753
2014-10-27,0.0158229493758057,-0.0211485286465892,0,44,300,1760
2014-11-03,0.0213840480319673,-0.00812942602906357,0,45,307,1767
2014-11-10,0.02753017854635,0.00517028222886004,0,46,314,1774
2014-11-17,0.0342741747207081,0.0186276213886813,0,47,321,1781
2014-11-24,0.0416121754287511,0.032200715571426,0,48,328,1788
2014-12-01,0.0493623086269424,0.045870349614184,0,49,335,1795
2014-12-08,0.0572350525565971,0.0596173093950759,0,50,342,1802
2014-12-15,0.0649393885544847,0.0734223807922223,0,51,349,1809
2014-12-22,0.0721842979573747,0.0872663496837438,-0.207469568453273,52,356,1816
2014-12-29,0.0786787621020365,0.101130001947761,0.0541654881018652,1,363,1823
2015-01-05,0.0841317623252397,0.192514435208682,0.153304080351408,2,5,1830
2015-01-12,0.0882522799637536,0.179152389883831,0,3,12,1837
2015-01-19,0.0907492963543477,0.165733797567535,0,4,19,1844
2015-01-26,0.0913972395174504,0.152337810431164,0,5,26,1851
2015-02-02,0.0903167142597184,0.139043580646084,0,6,33,1858
2015-02-09,0.0877423572051613,0.125930260383664,0,7,40,1865
2015-02-16,0.0839088747331273,0.113077001815271,0,8,47,1872
2015-02-23,0.079050973222965,0.10056295575719,0,9,54,1879
2015-03-02,0.0734033590540228,0.08843777617719,0,10,61,1886
2015-03-09,0.0672007386056493,0.0766455528248668,0,11,68,1893
2015-03-16,0.0606778182571928,0.0651067692953939,0,12,75,1900
2015-03-23,0.0540692459413306,0.0537419091839441,0,13,82,1907
2015-03-30,0.0475662129777814,0.0424714560856908,-0.126705129894656,14,89,1914
2015-04-06,0.0412394428233213,0.0312158935958067,0,15,96,1921
2015-04-13,0.0351389551447455,0.0198957053094652,0.126705129894656,16,103,1928
2015-04-20,0.0293147696088496,0.00843846814650755,0,17,110,1935
2015-04-27,0.0238169058824289,-0.00311941596925364,0,18,117,1942
2015-05-04,0.0186953836322789,-0.0146563750760275,-0.0744125555813417,19,124,1949
2015-05-11,0.014000222525195,-0.0260485641462744,0.0744125555813417,20,131,1956
2015-05-18,0.0097814422279726,-0.0371721381524551,0,21,138,1963
2015-05-25,0.00608851617676277,-0.0479032520670299,-0.0866663402758187,22,145,1970
2015-06-01,0.00293973852400994,-0.0581180608624593,0.0866663402758187,23,152,1977
2015-06-08,0.000305970762384867,-0.0676927376477926,0,24,159,1984
2015-06-15,-0.00184590297688501,-0.0765115154034982,0,25,166,1991
2015-06-22,-0.00354899856257226,-0.0844793302882205,0,26,173,1998
2015-06-29,-0.00483643186344943,-0.0915043965535391,0,27,180,2005
2015-07-06,-0.00574131874828914,-0.0974949284510331,0,28,187,2012
2015-07-13,-0.00629677508586393,-0.102359140232282,0,29,194,2019
2015-07-20,-0.0065359167449464,-0.106005246148865,0,30,201,2026
2015-07-27,-0.00649375996752056,-0.108341460452361,0,31,208,2033
2015-08-03,-0.00623924959939383,-0.109283329664033,0,32,215,2040
2015-08-10,-0.0058705785366636,-0.108820308136851,0,33,222,2047
2015-08-17,-0.0054868974666921,-0.106984651772566,0,34,229,2054
2015-08-24,-0.00518735707684157,-0.10380913944853,0,35,236,2061
2015-08-31,-0.00507110805447423,-0.0993265500420934,-0.0747670275721736,36,243,2068
2015-09-07,-0.00523730108695234,-0.0935696624306086,0.0747670275721736,37,250,2075
2015-09-14,-0.0057850868616381,-0.0865712554914262,0,38,257,2082
2015-09-21,-0.00681361606589376,-0.0783644381600989,0,39,264,2089
2015-09-28,-0.00840558234040918,-0.069017411931361,0,40,271,2096
2015-10-05,-0.0105110827397054,-0.0586640716125886,0,41,278,2103
2015-10-12,-0.0130162031416744,-0.0474455271800997,0,42,285,2110
2015-10-19,-0.0158066152301962,-0.0355028886102127,0,43,292,2117
2015-10-26,-0.0187679906891506,-0.0229772658792459,0,44,299,2124
2015-11-02,-0.0217860012024176,-0.0100097689635174,0,45,306,2131
2015-11-09,-0.0247463184538772,0.00325849216065456,0,46,313,2138
2015-11-16,-0.0275346141274093,0.0166976090958634,0,47,320,2145
2015-11-23,-0.030036559906894,0.0302553433702896,0,48,327,2152
2015-11-30,-0.0321458379352208,0.0439123623792832,0,49,334,2159
2015-12-07,-0.0337891607179042,0.0576494520009649,0,50,341,2166
2015-12-14,-0.034901753059534,0.0714473981134553,0,51,348,2173
2015-12-21,-0.0354188397732794,0.085286986594875,-0.207469568453273,52,355,2180
2015-12-28,-0.0352756456723095,0.0991490033233447,0.0541654881018652,53,362,2187
2016-01-04,-0.0344073955697934,0.194414067458624,0.153304080351408,1,4,2194
2016-01-11,-0.0327493142789003,0.181066561677151,0,2,11,2201
2016-01-18,-0.0302366266127992,0.167651201451182,0,3,18,2208
2016-01-25,-0.0268049834810184,0.154247138952085,0,4,25,2215
2016-02-01,-0.0224734338055077,0.140933526351227,0,5,32,2222
2016-02-08,-0.0174438031351393,0.127789515819976,0,6,39,2229
2016-02-15,-0.0119421451052974,0.114894259529699,0,7,46,2236
2016-02-22,-0.00619451335136662,0.102326909651765,0,8,53,2243
2016-02-29,-0.000426961508731285,0.0901477050034296,0,9,60,2250
2016-03-07,0.00513445678722414,0.0783127848270399,0,10,67,2257
2016-03-14,0.0102636879011153,0.0667426639599043,0,11,74,2264
2016-03-21,0.0147346781975576,0.0553578259971958,-0.126705129894656,12,81,2271
2016-03-28,0.0183254655624509,0.0440787545340874,0,13,88,2278
2016-04-04,0.0209535724824088,0.0328259331657523,0.126705129894656,14,95,2285
2016-04-11,0.0227071427352139,0.0215198454873634,0,15,102,2292
2016-04-18,0.0236847183199864,0.0100840813283535,0,16,109,2299
2016-04-25,0.0239848412358463,-0.00146668227623939,0,17,116,2306
2016-05-02,0.0237060534819135,-0.0130142130186363,-0.0744125555813417,18,123,2313
2016-05-09,0.0229468970573081,-0.0244346658712977,0.0744125555813417,19,130,2320
2016-05-16,0.0218059139611501,-0.0356041958066841,0,20,137,2327
2016-05-23,0.0203816461925595,-0.046398957797256,0,21,144,2334
2016-05-30,0.0187697256862672,-0.056695106815474,-0.0866663402758187,22,151,2341
2016-06-06,0.0170283751773424,-0.0663687978359889,0.0866663402758187,23,158,2348
2016-06-13,0.0151898661897598,-0.0753016490019638,0,24,165,2355
2016-06-20,0.0132859482867714,-0.0833966495467299,0,25,172,2362
2016-06-27,0.0113483710316292,-0.0905620137218666,0,26,179,2369
2016-07-04,0.0094088839875852,-0.0967059557789532,0,27,186,2376
2016-07-11,0.00749923671789133,-0.101736689969569,0,28,193,2383
2016-07-18,0.00565117878579957,-0.105562430545293,0,29,200,2390
2016-07-25,0.00389645975456189,-0.108091391757705,0,30,207,2397
2016-08-01,0.00226967033750897,-0.109235512468249,0,31,214,2404
2016-08-08,0.00082300185192065,-0.108971257458804,0,32,221,2411
2016-08-15,-0.000384623169231456,-0.107329684915491,0,33,228,2418
2016-08-22,-0.00129426863921861,-0.104343573715664,0,34,235,2425
2016-08-29,-0.00184699847131205,-0.100045702736671,-0.0747670275721736,35,242,2432
2016-09-05,-0.00198387657878305,-0.0944688508558657,0.0747670275721736,36,249,2439
2016-09-12,-0.00164596687490283,-0.0876457969505983,0,37,256,2446
2016-09-19,-0.000774333272942665,-0.0796093515454074,0,38,263,2453
2016-09-26,0.000689950819498617,-0.070417603654129,0,39,270,2460
2016-10-03,0.00277502586062564,-0.0601993831047706,0,40,277,2467
2016-10-10,0.00540982510557026,-0.0490957998736503,0,41,284,2474
2016-10-17,0.00850333674289671,-0.0372479639370864,0,42,291,2481
2016-10-24,0.0119645489611692,-0.0247969852713973,0,43,298,2488
2016-10-31,0.015702449948952,-0.0118839738529009,0,44,305,2495
2016-11-07,0.0196260278948094,0.00134996034208428,0,45,312,2502
2016-11-14,0.0236442709873055,0.0147700151470546,0,46,319,2509
2016-11-21,0.0276661674150046,0.0283119973882259,0,47,326,2516
2016-11-28,0.0316006174096134,0.0419560092385189,0,48,333,2523
2016-12-05,0.0353490646995102,0.055682836576054,0,49,340,2530
2016-12-12,0.0387999300512341,0.0694732652789522,0,50,347,2537
2016-12-19,0.041840323270447,0.0833080812253338,0,51,354,2544
2016-12-26,0.0443573541628108,0.0971680702933195,-0.207469568453273,52,361,2551
2017-01-02,0.0462381325339873,0.198204100789106,0.0541654881018652,1,2,2558
2017-01-09,0.0473697681896384,0.1848905201457,0.153304080351408,2,9,2565
2017-01-16,0.047639370935426,0.171486470151693,0,3,16,2572
2017-01-23,0.0469340505770121,0.158071102978452,0,4,23,2579
2017-01-30,0.045147617434153,0.144723570797345,0,5,30,2586
2017-02-06,0.0423241224583381,0.13152302577974,0,6,37,2593
2017-02-13,0.0386557375307775,0.118548620097004,0,7,44,2600
2017-02-20,0.0343409110795411,0.105879505920506,0,8,51,2607
2017-02-27,0.0295780915326989,0.0935888750360852,0,9,58,2614
2017-03-06,0.0245657273183208,0.0816636928602466,0,10,65,2621
2017-03-13,0.0195022668644765,0.0700260289664697,0,11,72,2628
2017-03-20,0.0145861585992362,0.0585963669499276,0,12,79,2635
2017-03-27,0.0100158509506696,0.0472951904057934,0,13,86,2642
2017-04-03,0.00597566195398789,0.03604298292924,0,14,93,2649
2017-04-10,0.00251470271342302,0.0247602281154408,-0.126705129894656,15,100,2656
2017-04-17,-0.000393076120074265,0.0133675622095388,0,16,107,2663
2017-04-24,-0.00277453104367182,0.00183862197590736,0.126705129894656,17,114,2670
2017-05-01,-0.00465651855453761,-0.00972246968911079,-0.0744125555813417,18,121,2677
2017-05-08,-0.00606589514983952,-0.0211918677579762,0.0744125555813417,19,128,2684
2017-05-15,-0.00702951732674541,-0.0324457272031492,0,20,135,2691
2017-05-22,-0.00757424158242324,-0.0433602029970906,0,21,142,2698
2017-05-29,-0.00772692441404089,-0.0538114501122607,-0.0866663402758187,22,149,2705
2017-06-05,-0.00751546867979347,-0.06367562352112,0.0866663402758187,23,156,2712
2017-06-12,-0.00697281323912586,-0.0728308868190205,0,24,163,2719
2017-06-19,-0.00613341010758094,-0.0811746391482566,0,25,170,2726
2017-06-26,-0.00503171159563517,-0.088614979607412,0,26,177,2733
2017-07-03,-0.00370217001376508,-0.095060122448066,0,27,184,2740
2017-07-10,-0.00217923767244715,-0.100418281921798,0,28,191,2747
2017-07-17,-0.000497366882157898,-0.104597672280187,0,29,198,2754
2017-07-24,0.00130899004662621,-0.107506507774813,0,30,205,2761
2017-07-31,0.00320538434763262,-0.109053450078101,0,31,212,2768
2017-08-07,0.00515882005854234,-0.109188734974172,0,32,219,2775
2017-08-14,0.00713998321036577,-0.107937336942847,0,33,226,2782
2017-08-21,0.00912013435444347,-0.105332034861477,0,34,233,2789
2017-08-28,0.0110705340421159,-0.101405607607415,-0.0747670275721736,35,240,2796
2017-09-04,0.0129624428247235,-0.0961908340580097,0.0747670275721736,36,247,2803
2017-09-11,0.0147671212536069,-0.0897204930906139,0,37,254,2810
2017-09-18,0.0164558298801065,-0.0820273635825784,0,38,261,2817
2017-09-25,0.0179998292555628,-0.0731547304355368,0,39,268,2824
2017-10-02,0.0193707637705054,-0.0632153888113116,0,40,275,2831
2017-10-09,0.0205580571378711,-0.0523503673692336,0,41,282,2838
2017-10-16,0.0215760332846581,-0.0407007760856212,0,42,289,2845
2017-10-23,0.0224408750037959,-0.0284077249367925,0,43,296,2852
2017-10-30,0.0231687650882139,-0.0156123238990657,0,44,303,2859
2017-11-06,0.0237758863308415,-0.00245568294875916,0,45,310,2866
2017-11-13,0.0242784215246084,0.0109223063528566,0,46,317,2873
2017-11-20,0.0246925534624438,0.0244316081527092,0,47,324,2880
2017-11-27,0.0250344649372773,0.0380484293107918,0,48,331,2887
